Date,Open,High,Low,Close,Adj Close,Volume
12/24/19,23.200001,23.200001,23.200001,23.200001,19.306366,0
12/26/19,23.25,23.25,23.25,23.25,19.347977,0
12/27/19,23.299999,23.299999,23.299999,23.299999,19.389584,0
12/30/19,23.200001,23.200001,23.200001,23.200001,19.306366,0
12/31/19,23.24,23.24,23.24,23.24,19.339653,0
1/2/20,23.32,23.32,23.32,23.32,19.406229,0
1/3/20,23.27,23.27,23.27,23.27,19.364622,0
1/6/20,23.27,23.27,23.27,23.27,19.364622,0
1/7/20,23.200001,23.200001,23.200001,23.200001,19.306366,0
1/8/20,23.23,23.23,23.23,23.23,19.331337,0
1/9/20,23.299999,23.299999,23.299999,23.299999,19.389584,0
1/10/20,23.27,23.27,23.27,23.27,19.364622,0
1/13/20,23.370001,23.370001,23.370001,23.370001,19.447836,0
1/14/20,23.4,23.4,23.4,23.4,19.472801,0
1/15/20,23.42,23.42,23.42,23.42,19.489445,0
1/16/20,23.51,23.51,23.51,23.51,19.564339,0
1/17/20,23.6,23.6,23.6,23.6,19.639238,0
1/21/20,23.530001,23.530001,23.530001,23.530001,19.580984,0
1/22/20,23.52,23.52,23.52,23.52,19.572662,0
1/23/20,23.540001,23.540001,23.540001,23.540001,19.589308,0
1/24/20,23.43,23.43,23.43,23.43,19.497768,0
1/27/20,23.190001,23.190001,23.190001,23.190001,19.298048,0
1/28/20,23.32,23.32,23.32,23.32,19.406229,0
1/29/20,23.309999,23.309999,23.309999,23.309999,19.397907,0
1/30/20,23.290001,23.290001,23.290001,23.290001,19.38126,0
1/31/20,23.059999,23.059999,23.059999,23.059999,19.189865,0
2/3/20,23.1,23.1,23.1,23.1,19.223152,0
2/4/20,23.299999,23.299999,23.299999,23.299999,19.389584,0
2/5/20,23.440001,23.440001,23.440001,23.440001,19.50609,0
2/6/20,23.459999,23.459999,23.459999,23.459999,19.522732,0
2/7/20,23.389999,23.389999,23.389999,23.389999,19.464481,0
2/10/20,23.48,23.48,23.48,23.48,19.539375,0
2/11/20,23.549999,23.549999,23.549999,23.549999,19.597628,0
2/12/20,23.58,23.58,23.58,23.58,19.622589,0
2/13/20,23.549999,23.549999,23.549999,23.549999,19.597628,0
2/14/20,23.549999,23.549999,23.549999,23.549999,19.597628,0
2/18/20,23.49,23.49,23.49,23.49,19.547697,0
2/19/20,23.530001,23.530001,23.530001,23.530001,19.580984,0
2/20/20,23.5,23.5,23.5,23.5,19.556019,0
2/21/20,23.459999,23.459999,23.459999,23.459999,19.522732,0
2/24/20,22.969999,22.969999,22.969999,22.969999,19.114967,0
2/25/20,22.559999,22.559999,22.559999,22.559999,18.773779,0
2/26/20,22.540001,22.540001,22.540001,22.540001,18.757137,0
2/27/20,21.940001,21.940001,21.940001,21.940001,18.257833,0
2/28/20,21.709999,21.709999,21.709999,21.709999,18.066431,0
3/2/20,22.280001,22.280001,22.280001,22.280001,18.54077,0
3/3/20,22.07,22.07,22.07,22.07,18.366014,0
3/4/20,22.639999,22.639999,22.639999,22.639999,18.840349,0
3/5/20,22.23,22.23,22.23,22.23,18.499161,0
3/6/20,21.959999,21.959999,21.959999,21.959999,18.274471,0
3/9/20,20.66,20.66,20.66,20.66,17.192656,0
3/10/20,21.16,21.16,21.16,21.16,17.60874,0
3/11/20,20.450001,20.450001,20.450001,20.450001,17.0179,0
3/12/20,19,19,19,19,15.81125,0
3/13/20,19.969999,19.969999,19.969999,19.969999,16.618452,0
3/16/20,18.26,18.26,18.26,18.26,15.322039,0
3/17/20,18.85,18.85,18.85,18.85,15.817112,0
3/18/20,18.01,18.01,18.01,18.01,15.112266,0
3/19/20,17.969999,17.969999,17.969999,17.969999,15.078698,0
3/20/20,17.700001,17.700001,17.700001,17.700001,14.852141,0
3/23/20,17.290001,17.290001,17.290001,17.290001,14.50811,0
3/24/20,18.15,18.15,18.15,18.15,15.229736,0
3/25/20,18.549999,18.549999,18.549999,18.549999,15.56538,0
3/26/20,19.370001,19.370001,19.370001,19.370001,16.253445,0
3/27/20,19.049999,19.049999,19.049999,19.049999,15.984933,0
3/30/20,19.41,19.41,19.41,19.41,16.287012,0
3/31/20,19.309999,19.309999,19.309999,19.309999,16.203098,0
4/1/20,18.799999,18.799999,18.799999,18.799999,15.775154,0
4/2/20,19.08,19.08,19.08,19.08,16.010105,0
4/3/20,18.940001,18.940001,18.940001,18.940001,15.89263,0
4/6/20,19.549999,19.549999,19.549999,19.549999,16.404482,0
4/7/20,19.559999,19.559999,19.559999,19.559999,16.412878,0
4/8/20,19.9,19.9,19.9,19.9,16.69817,0
4/9/20,20.299999,20.299999,20.299999,20.299999,17.033815,0
4/13/20,20.1,20.1,20.1,20.1,16.865993,0
4/14/20,20.43,20.43,20.43,20.43,17.142895,0
4/15/20,20.08,20.08,20.08,20.08,16.849209,0
4/16/20,20.09,20.09,20.09,20.09,16.857601,0
4/17/20,20.549999,20.549999,20.549999,20.549999,17.243586,0
4/20/20,20.25,20.25,20.25,20.25,16.991858,0
4/21/20,19.889999,19.889999,19.889999,19.889999,16.689781,0
4/22/20,20.09,20.09,20.09,20.09,16.857601,0
4/23/20,20.08,20.08,20.08,20.08,16.849209,0
4/24/20,20.200001,20.200001,20.200001,20.200001,16.949902,0
4/27/20,20.450001,20.450001,20.450001,20.450001,17.159679,0
4/28/20,20.51,20.51,20.51,20.51,17.210024,0
4/29/20,20.74,20.74,20.74,20.74,17.403019,0
4/30/20,20.559999,20.559999,20.559999,20.559999,17.251978,0
5/1/20,20.209999,20.209999,20.209999,20.209999,16.95829,0
5/4/20,20.190001,20.190001,20.190001,20.190001,16.941509,0
5/5/20,20.290001,20.290001,20.290001,20.290001,17.025423,0
5/6/20,20.139999,20.139999,20.139999,20.139999,16.899553,0
5/7/20,20.23,20.23,20.23,20.23,16.975077,0
5/8/20,20.459999,20.459999,20.459999,20.459999,17.168068,0
5/11/20,20.42,20.42,20.42,20.42,17.134508,0
5/12/20,20.18,20.18,20.18,20.18,16.933123,0
5/13/20,19.99,19.99,19.99,19.99,16.773685,0
5/14/20,20.049999,20.049999,20.049999,20.049999,16.824036,0
5/15/20,20,20,20,20,16.782084,0
